Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
syb_admin_tool_messsage_title,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,СООБЩЕНИЕ ОТ АДМИНИСТРАТОРА,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MENSAJE DEL ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN,MESSAGE FROM ADMIN
syb_gp5_filter_name,Gas mask filter,Gas mask filter,Gas mask filter,Gas mask filter,Фильтр от противогаза,Gas mask filter,Gas mask filter,Gas mask filter,Filtro de máscara de gas,Gas mask filter,Gas mask filter,Gas mask filter,Gas mask filter,Gas mask filter
syb_gp5_filter_desc,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,Фильтр от противогаза предназначен для работы в условиях возможного загрязнения воздуха. Срок службы противогазных фильтров ограничен.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,El filtro de máscara de gas está diseñado para funcionar en condiciones de posible contaminación del aire. Los filtros de máscara de gas tienen una vida útil limitada.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.,The gas mask filter is designed to work in conditions of possible air pollution. Gas mask filters have a limited using life.
syb_pve_intrude,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,Вы нарушили мораторий на насилие в этом месте. Теперь вы получаете полный урон от других игроков.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,Ha violado la moratoria sobre la violencia en este lugar. Ahora recibes el daño total de otros jugadores.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.,You have violated the moratorium on violence in this location. Now you take full damage from other players.
syb_skill_disabled_hint,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,Данный навык находится в разработке и будет введен в игру в будущем,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.,This skill is under development and will be introduced into the game in the future.
syb_med_zvirus,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Лечение зомби вируса,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment,Zombie virus treatment
syb_med_antirad,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Радиопротекторное действие,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action,Radioprotective action
syb_nosoulsleft,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,Нет душ для возрождения,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn,No souls for respawn
syb_used_features,Your features,Your features,Your features,Your features,Ваши умения,Your features,Your features,Your features,Your features,Your features,Your features,Your features,Your features,Your features
syb_skill6,Farming,Farming,Farming,Farming,Фермерство,Farming,Farming,Farming,Farming,Farming,Farming,Farming,Farming,Farming
